Feature,Importance
59,0.026597579507777813
33,0.016895576079816267
519,0.013719858363153918
129,0.010163036561981026
205,0.009780339947981737
28,0.00897748583601608
477,0.008870156973278774
510,0.008348737523549494
64,0.00833747786014697
341,0.008279473709845013
21,0.007888318864622533
31,0.007633948235780166
152,0.0075844526392900265
460,0.0069981915818387785
425,0.0069078872947468
426,0.006872866316575622
124,0.0068350269039590674
287,0.006769679127014515
126,0.0065611402325207405
65,0.006473623325929873
319,0.006129568177219042
452,0.006064689009501999
127,0.005678844227290271
420,0.005397929005344772
475,0.005318594818051614
573,0.005296803059037191
197,0.005138799502458085
316,0.0051074859259585
469,0.004930119088371387
122,0.004903139671996769
90,0.004880663373476989
19,0.004826223207560389
336,0.004787871799134813
14,0.004781629867490703
40,0.00476320751739408
182,0.004745234025922847
125,0.0046941329101000085
200,0.0046260547790357995
435,0.004610029258521864
423,0.004558874345111505
35,0.004553482734444047
203,0.004529248921695999
290,0.004487435853119393
488,0.0044426230043206946
180,0.004382132340613012
41,0.0043561106958237335
163,0.004355264438717681
115,0.004334917358113266
339,0.004299388611458483
346,0.004257689817562252
571,0.0042300959762580255
547,0.004212294108453317
133,0.004188568074548404
390,0.004177965012524448
446,0.004163166605172116
98,0.004123534895079034
416,0.004108330253001891
0,0.004093560341898545
175,0.0040833785888474364
63,0.004013374195448997
183,0.003969585753350784
15,0.003962672518540951
302,0.003959470467947264
37,0.003936833403082416
468,0.003935856051016664
433,0.003930588057228919
55,0.003918647182129808
323,0.003907427058279316
431,0.0038925731839649148
486,0.003881732637298009
45,0.0038126854360952243
32,0.003811304773410322
417,0.0038064126966068723
454,0.0038058446389206612
27,0.00380038325068743
491,0.0037964469925235458
2,0.0037497886177879076
577,0.003743172249320989
410,0.0037194983502284147
428,0.0037010281216032174
96,0.0036815172855135148
434,0.0036690613556065897
67,0.003665496233752501
344,0.003642531014165102
563,0.0036195741980524117
68,0.0035729331589108193
429,0.0035583181575251353
123,0.0035273458851356855
39,0.003524901673799321
159,0.0035179204610869042
137,0.0035103626919457107
272,0.003499060957050322
250,0.0034986273472270464
539,0.0034938055225281926
140,0.003480197514765808
445,0.0034656512422268316
83,0.003436726825940565
270,0.0034362691953931405
484,0.003411727929685475
12,0.003407451841726607
455,0.0034008320586098183
24,0.0033588501382368786
343,0.003358432071735408
430,0.0033535513448743628
406,0.003307855147757662
46,0.00330778268455899
43,0.003304856693313949
345,0.003302269130539449
184,0.0032983918907246983
494,0.0032610009346205997
324,0.003259988316867779
16,0.003257878289607816
557,0.003237202401626976
218,0.003199399459007276
36,0.0031953865922607154
201,0.003174417766287074
120,0.003151947592051399
207,0.0031454473570914554
6,0.003124178236092219
160,0.0031218413970845525
408,0.003119383459520378
188,0.0031137952335198414
294,0.0031105464732556843
60,0.003091813458045807
572,0.003055670177960859
555,0.0030506033630662266
255,0.0030482597069104393
318,0.003041681379869923
474,0.0030416046223889063
139,0.003041018578705291
286,0.0030389581252612758
23,0.0030372025991363093
438,0.0030305368557492006
443,0.0030285728916268338
18,0.003014763450614595
181,0.003014031108960383
111,0.0030122485653288835
526,0.0030077783375161166
495,0.0030056624318811577
485,0.002993907141242789
299,0.0029938264026843227
34,0.0029645984360330024
295,0.002960947298705215
427,0.0029539239679076145
333,0.0029350514585523924
155,0.0029221324430623243
338,0.0029174183374269806
29,0.0029160899984298073
540,0.0028899367417042636
487,0.0028862349640153676
202,0.002876908636051743
196,0.002873474171104376
335,0.00285569201626589
467,0.002850837390655075
297,0.0028101931654191453
470,0.0028005513586454992
271,0.0027982249713917394
490,0.0027967210326178644
150,0.0027899454730264785
441,0.002788219827725263
527,0.0027568922500059755
50,0.0027521443004610386
198,0.002736954439268462
142,0.002736712986317712
437,0.00272468056228882
47,0.0027004912479435526
562,0.002695498589566846
204,0.0026922876924522416
439,0.002687851412155591
208,0.0026751960374349053
585,0.002668688892825931
479,0.0026678604217465884
273,0.0026671607664555163
524,0.0026379300072188238
225,0.0026304342548839127
61,0.0026278285821855897
545,0.0026226314698666836
570,0.00257433834528985
525,0.002573982963622724
296,0.0025545012683736656
407,0.0025440438956046614
489,0.0025429239607383785
62,0.0025388738165028333
459,0.0025274992111329864
549,0.0025228270092050448
548,0.0025060846595530988
493,0.002500912806783561
135,0.0024951658210387497
589,0.0024739750257539847
187,0.002459973922453581
442,0.0024547466676764747
