Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,CV-F1 (mean)
ANN (Deep Learning),0.9267515923566879,0.375,0.14285714285714285,0.20689655172413793,0.5369738339021615,0.13023648368277557,0.20689655172413793
XGBoost,0.910828025477707,0.18181818181818182,0.09523809523809523,0.125,0.7370388428408906,0.18263602973295281,0.9753474575147998
KNN (k=5),0.3980891719745223,0.0625,0.5714285714285714,0.11267605633802817,0.5068259385665529,0.07821116870427275,0.7491872490901555
SVM (RBF),0.9331210191082803,0.5,0.047619047619047616,0.08695652173913043,0.6447261498456037,0.1560534707849797,0.987742743117052
Random Forest,0.9267515923566879,0.0,0.0,0.0,0.8158621810498944,0.2174550063146387,0.9901460832487814
Random Forest (Tuned),0.9267515923566879,0.0,0.0,0.0,0.8036730050381927,0.20838964771792887,0.9896642956088659
